skill,salary,openings,targets_training
Sybase SQL Anywhere,81646.68,913,1
Board Development,77081.59,3348,0
Djembe,119538.11,5944,0
Shared Services,79357.04,3367,0
Windows Azure,34289.73,5166,0
TV Distribution,60687.67,2543,0
BST,29486.17,2215,0
VAS,83462.9,1133,0
Banners,130950.97,6188,1
Scientific Writing,41547.93,3286,1
HS&amp;E,121629.31,515,0
GNU tools,76927.23,2670,0
Phase II ESA,70829.7,5256,1
Cardiac Rhythm Management,26028.58,4035,1
Microsoft Dynamics ERP,29522.09,5374,1
Current Affairs,147203.06,4248,0
Water Management,85340.75,5514,1
GFI,112224.32,5928,0
MySQLi,78185.03,1050,1
Koine Greek,120663.88,5316,1
Capacity Utilization,117237.53,6933,1
PDM Works,148836.02,2107,1
Focus Groups,108883.09,3617,0
Tween,35848.54,383,0
UWB,59614.26,3142,1
Java,139144.76,2325,0
Renewable Energy,23596.72,461,1
LLP,84324.55,4693,0
Key Person Insurance,71655.13,5571,1
Cinematography,60779.49,883,0
RTO,143044.54,1550,0
Commercial Property Owners,59582.78,6137,0
Medical Affairs,129650.69,386,1
JVM,144051.19,2035,1
Oil Changes,82159.06,754,0
DVD Architect,58124.44,446,1
DFSS Green Belt,68152.76,4155,1
OSHA 30-Hour,43091.21,2151,0
IATSE,31599.03,2592,1
Gypsum,40558.42,2819,0
TK Solver,117189.38,4642,1
Equestrian,149710.6,4053,0
BSCI,109813.69,537,1
vBlock,56534.84,2710,0
DVD Duplication,27589.81,5705,1
QA Engineering,27213.09,5275,1
Voiceovers,133290.24,5176,1
SaaS,92944.56,1102,1
SGE,109590.96,4777,0
TDMA,107968.1,6920,0
Qlogic,68863.22,68,1
Icon Design,64606.77,530,1
Water Quality,135410.55,1401,0
Nursing Care,40760.6,5358,1
Dutch,70724.09,4392,1
WCF,56099.53,5456,1
Oz Principle,110338.72,3508,1
Nightclub,131483.62,446,1
LAN Switching,43381.82,6643,0
RPL,122518.99,4271,1
Biopharmaceuticals,95833.36,5054,1
Tortoise CVS,117006.97,5683,1
User Experience Design,27953.33,4428,1
Solaris Zones,142378.28,994,0
PKMS,134447.27,319,1
Sellers,106488.58,6958,1
Nios II,99888.29,250,1
VCM,113740.19,3379,0
Visual SVN,22004.45,1180,1
Sports Psychology,22533.27,973,1
Embedded Software,88239.1,5851,0
RS Means,50316.23,503,0
Young People,93724.94,2361,1
Cold Calling,130899.04,2120,0
RS422,127608.84,5235,0
Latin American Studies,100806.1,5170,1
Employee Management,140088.11,3119,1
Nutritional Counseling,85277.25,1500,1
OxMetrics,29729.3,3364,0
KRAs,75145.78,1739,1
HSE auditing,42984.7,898,0
PK,51215.89,4009,0
LDP,85719.83,5985,1
BMR,56023.89,4782,1
Turbo C++,121492.03,5017,1
LTL,101497.18,4731,1
SMT Kingdom,98907.73,215,0
Boating,51734.74,5903,1
WDM,118875.19,2264,0
BMC Portal,20749.71,2283,0
Biostatistics,74574.99,2345,1
ALM,76478.06,966,0
Avid Newscutter,116377.26,722,0
NTSC,20053.95,6201,0
Executive Search,119084.19,5807,1
Hydraulic Fracturing,69579.46,3050,1
Internet Banking,140657.23,4874,1
Biodiversity,109462.86,2619,1
Occupational Therapy,73300.17,4278,1
GVP,87775.93,3689,1
Content Strategy,149119.91,5859,0
FBCB2,146214.09,6668,0
Oil Sands,37040.25,2310,0
KPI Dashboards,136388.77,6971,1
Handmade Jewelry,107204.36,2502,0
Egyptology,24427.77,4060,1
Pipefitting,90022.73,4999,0
RELAX NG,110439.58,1523,1
ASIC,100986.81,2495,0
UVLayout,38127.32,6890,0
Medical Affairs,68279.6,6195,0
FDQM,99423.46,2753,1
MBD,71286.15,1477,0
QAQC,98231.76,5769,1
Kaizen Leadership,113414.51,6518,0
Kyocera,36079.07,5745,1
IGRP,74336.83,1020,1
Juniper JNCIA,97567.75,4350,1
Construction,66281.0,4228,0
EWM,86625.82,1486,1
Project Bidding,108853.68,243,0
Play Therapy,114903.82,3953,0
Yamaha Digital Consoles,22986.65,583,1
TSYS,28115.73,1981,1
Railway,142849.16,2538,1
Afghanistan,62200.06,5994,0
Network Security,59715.47,1449,1
IEP,24084.86,6433,1
JVC,148971.69,4400,1
